Nodo_ID,Lat_Nodo,Lng_Nodo,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
33.99_-118.24,33.99,-118.24,2,1,0,1,1,2,3,1,0,2,2,2,1,3,3,1,3,1,2,0,1,1,1,0,3,1,1,0,3,2,0,3,1,0,0,0,1,1,1,0,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,6,0,1,3,1,0,2,7,0,2,3,0,2,0,26,0,3,0,1,2,0,2,9,5,0,1
33.99_-118.25,33.99,-118.25,0,4,3,4,6,5,4,2,6,2,1,3,2,6,3,0,4,2,5,1,4,1,2,6,2,5,4,3,5,5,3,3,5,0,4,4,4,5,2,1,2,6,4,9,5,6,9,6,9,2,9,1,0,0,4,8,6,9,20,9,4,2,3,14,5,6,4,1,1,6,4,13,10,4,6,3,6,12,14,4,12,10,9,3,4
33.99_-118.26,33.99,-118.26,1,1,0,2,2,1,0,0,0,0,2,0,0,2,1,1,1,0,0,0,1,0,3,1,1,0,1,2,1,3,1,2,1,0,0,1,2,0,0,0,0,1,2,2,0,2,5,8,0,4,0,1,1,0,1,0,0,5,6,0,3,6,3,10,1,10,7,8,0,33,3,3,8,14,2,3,3,0,6,5,1,1,2,4,1
33.99_-118.27,33.99,-118.27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,1,0,0,0,1,0,4,3,4,0,6,0,5,0,0,0,0,0,2
33.99_-118.28,33.99,-118.28,2,10,8,7,7,7,14,15,5,5,7,16,8,10,13,8,7,10,5,4,5,8,6,3,8,13,12,8,6,4,12,7,7,7,10,5,9,6,10,9,7,10,23,24,20,21,23,29,13,12,11,31,3,7,19,19,27,34,32,33,20,19,12,17,33,26,34,7,24,50,39,14,26,33,25,23,18,6,22,8,19,24,21,22,6
33.99_-118.29,33.99,-118.29,0,0,0,0,0,1,0,0,1,1,0,0,2,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,4,8,7,22,17,16,11,3,1,11,14,5,4,12,17,20,14,13,26,23,5,0,8,2,0,0,4,4,0,0
33.99_-118.3,33.99,-118.3,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,2,1
33.99_-118.31,33.99,-118.31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0
33.99_-118.33,33.99,-118.33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,19,0,5,0,0,0,1,7,0,0,0,2,0,0,0,0,0,0,0,0
33.99_-118.34,33.99,-118.34,0,1,0,2,1,1,2,0,1,2,2,0,0,1,0,2,3,3,0,0,1,0,0,0,2,1,1,1,0,4,1,0,0,1,1,0,1,5,2,0,1,2,2,4,3,3,1,4,3,1,1,5,0,0,5,0,11,0,3,4,1,0,2,2,3,2,0,1,2,2,2,4,4,3,0,4,7,5,4,4,2,2,5,2,2
33.99_-118.35,33.99,-118.35,1,2,2,7,0,2,2,2,1,3,4,0,1,1,1,1,2,3,1,2,1,0,0,1,1,2,0,3,0,4,4,2,1,1,0,0,3,3,2,0,4,0,0,1,4,2,4,0,1,0,0,1,0,0,0,4,3,2,3,2,3,2,3,2,7,3,3,6,2,11,1,1,11,5,12,0,5,4,5,1,6,5,4,6,2
33.99_-118.36,33.99,-118.36,2,5,2,4,6,3,5,3,9,6,7,4,2,4,3,6,2,5,4,1,7,1,3,4,2,5,2,0,1,7,4,3,4,3,3,3,9,9,7,2,1,5,7,14,4,5,7,8,8,1,3,2,1,1,1,4,23,16,8,9,7,1,22,18,10,34,20,28,6,18,8,3,21,23,12,5,5,9,11,7,11,2,7,9,4
33.99_-118.37,33.99,-118.37,1,0,3,7,2,3,2,3,6,3,4,3,2,0,4,5,1,1,0,4,5,3,4,3,2,5,2,5,5,0,4,8,3,2,5,5,2,5,3,1,1,2,1,6,4,4,0,4,0,0,0,0,2,0,0,1,6,4,6,7,5,0,4,11,3,5,24,18,17,48,1,4,23,12,15,4,21,9,21,9,15,15,4,1,4
33.99_-118.38,33.99,-118.38,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,2,0,0,0,1,2,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,3,2,0,1,0,4,4,4,0,2,0,1,1,0,0,5,3,3,1,3,3,4,2,3,2,1,2,2
33.99_-118.41,33.99,-118.41,0,2,1,1,0,2,2,1,1,1,0,0,2,0,0,1,1,2,0,1,0,0,0,0,0,2,0,1,0,1,2,0,0,0,1,0,0,0,0,0,1,2,0,1,0,1,2,3,2,2,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,1
33.99_-118.42,33.99,-118.42,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
33.9_-118.26,33.9,-118.26,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,1,0,5,0,0,0,1,0,0,6,0,1,0,0,0,0,0,9,2,1,1,1,0,0,1,0,0,1,1,3,1,2,0,3,1,0,0
33.9_-118.27,33.9,-118.27,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,3,2,4,3,5,5,6,1,4,0,0,0,3,3,3,3,0,0,1,5,2,2,0,4,0,1,0,1,0,6,0,0,1,1,4,5,0,1,3,0,1,0
33.9_-118.28,33.9,-118.28,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0
34.01_-118.13,34.01,-118.13,0,3,3,3,3,1,2,0,0,1,0,2,0,4,0,3,7,1,3,2,3,2,1,0,0,1,0,1,1,1,3,1,0,2,2,0,2,5,2,3,1,1,5,3,2,6,3,3,3,7,6,4,0,1,0,1,7,0,3,3,4,0,2,1,2,2,6,2,2,1,0,0,0,8,1,2,5,6,5,5,2,10,5,2,0
34.01_-118.14,34.01,-118.14,0,1,1,5,2,0,1,1,1,1,2,2,0,1,1,1,1,1,1,1,0,2,1,1,1,2,2,0,1,3,2,2,0,0,2,1,3,1,1,0,2,1,1,6,1,4,8,5,5,2,4,2,1,2,3,3,7,9,6,5,2,1,4,1,0,0,5,4,2,4,0,1,1,2,4,3,3,5,6,1,0,2,14,2,3
34.01_-118.15,34.01,-118.15,0,0,1,0,1,1,0,1,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,2,0,3,0,3,1,1,1,0,0,0,0,1,2,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,2,2,0,4,1,2,0,0,3,0,2,0,2,3,0,0,1,4,1,2,3,0,1,3
34.01_-118.16,34.01,-118.16,3,9,19,7,21,21,7,14,18,18,6,17,20,14,6,12,7,9,16,21,18,8,10,5,6,12,18,8,12,15,11,25,14,11,10,5,10,7,4,8,7,11,19,30,10,25,23,29,16,15,11,18,1,3,11,14,55,28,29,23,16,13,12,23,16,35,24,25,12,27,17,14,6,33,19,18,20,24,12,26,35,22,38,13,10
34.01_-118.17,34.01,-118.17,0,5,11,14,7,12,5,4,7,4,7,4,5,3,3,6,4,1,4,10,7,5,2,6,6,4,5,4,10,6,4,2,6,4,4,1,5,4,4,3,8,9,9,7,3,16,11,10,15,10,12,11,1,5,4,4,15,11,12,6,6,10,10,5,10,18,11,9,15,11,5,25,9,24,24,23,18,23,7,8,22,16,21,12,4
34.01_-118.18,34.01,-118.18,0,0,0,0,2,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,6,0,0,1,0,0,0,0,2,1,3,4,2,0,2,2,8,1,0,0,1,2,2,2,3,0,1,2
34.01_-118.2,34.01,-118.2,0,0,0,0,1,0,0,1,0,1,0,0,1,2,0,1,0,1,1,2,0,1,0,0,2,1,0,2,1,2,0,0,3,0,2,0,0,1,0,0,1,0,0,0,2,1,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
